2023-03-23 11:35:14,952 INFO    Thread-28 :3916 [wandb_setup.py:_flush():68] Configure stats pid to 3916
2023-03-23 11:35:14,953 INFO    Thread-28 :3916 [wandb_setup.py:_flush():68] Loading settings from C:\Users\ucesvpm\.config\wandb\settings
2023-03-23 11:35:14,953 INFO    Thread-28 :3916 [wandb_setup.py:_flush():68] Loading settings from C:\Users\ucesvpm\OneDrive - University College London\PhD Project\Data Analytics\Time Series Clustering\Time Series Clustering\SHS-DeepClustering\wandb\settings
2023-03-23 11:35:14,953 INFO    Thread-28 :3916 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'DeepClust-Kenya_90k_Set_1_w90-Zscored-v1', 'entity': 'vasco-phd', 'root_dir': 'C:\\Users\\ucesvpm\\OneDrive - University College London\\PhD Project\\Data Analytics\\Time Series Clustering\\Time Series Clustering\\SHS-DeepClustering', 'sweep_id': 'hl9fqs98', 'run_id': '9fmdidch', 'sweep_param_path': 'C:\\Users\\ucesvpm\\OneDrive - University College London\\PhD Project\\Data Analytics\\Time Series Clustering\\Time Series Clustering\\SHS-DeepClustering\\wandb\\sweep-hl9fqs98\\config-9fmdidch.yaml'}
2023-03-23 11:35:14,954 INFO    Thread-28 :3916 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-23 11:35:14,955 INFO    Thread-28 :3916 [wandb_init.py:_log_setup():476] Logging user logs to C:\Users\ucesvpm\OneDrive - University College London\PhD Project\Data Analytics\Time Series Clustering\Time Series Clustering\SHS-DeepClustering\wandb\run-20230323_113514-9fmdidch\logs\debug.log
2023-03-23 11:35:14,955 INFO    Thread-28 :3916 [wandb_init.py:_log_setup():477] Logging internal logs to C:\Users\ucesvpm\OneDrive - University College London\PhD Project\Data Analytics\Time Series Clustering\Time Series Clustering\SHS-DeepClustering\wandb\run-20230323_113514-9fmdidch\logs\debug-internal.log
2023-03-23 11:35:14,955 INFO    Thread-28 :3916 [wandb_init.py:_jupyter_setup():426] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000022A9156F520>
2023-03-23 11:35:14,955 INFO    Thread-28 :3916 [wandb_init.py:init():516] calling init triggers
2023-03-23 11:35:14,955 INFO    Thread-28 :3916 [wandb_init.py:init():519] wandb.init called with sweep_config: {'activation_fn': 'LeakyReLU', 'batch_size': 164, 'epochs': 100, 'latent_layer_size': 25, 'learning_rate': 0.0008116165036606874, 'optimizer': 'nadam', 'window_length': 90}
config: {}
2023-03-23 11:35:14,955 INFO    Thread-28 :3916 [wandb_init.py:init():569] starting backend
2023-03-23 11:35:14,955 INFO    Thread-28 :3916 [wandb_init.py:init():573] setting up manager
